"langid","surface","auto","count","filename"
"cym","basen","be.V.3P.PLUPERF.SPOKEN","10","2,5,23,26,33,42"
"cym","baset","be.V.2S.PLUPERF","5","5,23"
"cym","basies","unk","1","7"
"cym","basio","pass.V.INFIN+SM","7","12,23,24,26,36,39,42"
"cym","basiodd","pass.V.3S.PAST+SM","6","6,7,11,22"
"cym","basiwn","pass.V.1P.PRES+SM","1","5"
"cym","basura","unk","1","27"
"cym","baswrs","unk","1","23"
"cym","baswn","be.V.1S.PLUPERF.SPOKEN","16","2,5,7,8,23,36,42"
"cym","bath","bath.N.M.SG","2","31"
"cym","bathio","unk","10","10,21"
"cym","bathrwm","unk","6","11,22,32"
"cym","batsh","unk","9","41"
"cym","batsys","unk","1","7"
"cym","bawb","everyone.PRON+SM","9","11,20,24,26,32,35,41,42"
"cym","B_B_C","name","3","22,41"
"cym","bechgyn","boys.N.M.PL","17","2,6,8,11,16,21,26,32,39,41,42"
"cym","bechod","how_sad.IM","2","8,34"
"cym","becws","unk","3","12"
"cym","becso","unk","2","28"
"cym","bedair","four.NUM.F+SM","5","5,11,22,30,42"
"cym","bedd","grave.N.M.SG","3","31,37"
"cym","bedrŵm","unk","1","21"
"cym","bedwar","four.NUM.M+SM","18","1,7,9,14,18,19,22,23,26,30,32"
"cym","bedwardeg","unk","1","22"
"cym","bedwerydd","fourth.ORD.M+SM","1","30"
"cym","bedydd","unk","2","7,14"
"cym","bedyddio","baptise.V.INFIN","4","7,12,14"
"cym","beibl","unk","1","15"
"cym","beiblau","unk","1","42"
"cym","beic","bike.N.M.SG","6","3,4,37"
"cym","beidio","stop.V.INFIN+SM","20","2,4,5,7,11,14,20,24,30,31,32,35,39,41"
"cym","beige","unk","2","30"
"cym","beiniad","unk","1","42"
"cym","beipan","unk","1","31"
"cym","beirdd","poets.N.M.PL","1","6"
"cym","beiriant","machine.N.M.SG+SM","1","26"
"cym","beirniad","adjudicator.N.M.SG","15","15,19,20,23,26,31,42"
"cym","beirniaid","adjudicators.N.M.PL","1","19"
"cym","bêl","ball.N.F.SG+SM","1","4"
"cym","bellach","far.ADJ.COMP+SM","12","2,3,5,8,11,18,23,24,38"
"cym","ben","head.N.M.SG+SM","37","2,3,4,5,7,10,11,12,14,18,20,22,23,26,30,31,36,38,39,41"
"cym","ben_blwydd","unk","2","10,42"
"cym","benderfyniad","decision.N.M.SG+SM","1","2"
"cym","benderfynol","decisive.ADJ+SM","1","11"
"cym","benderfynu","decide.V.INFIN+SM","3","11,35"
"cym","bendigedig","wonderful.ADJ","9","3,4,35,39"
"cym","bendith","blessing.N.F.SG","1","5"
"cym","benglin","unk","1","22"
"cym","bensiwn","pension.N.M.SG+SM","1","8"
"cym","benthyg","lend.V.INFIN","1","36"
"cym","bentre","village.N.M.SG+SM","2","2,22"
"cym","berchen","own.V.INFIN+SM","2","3,22"
"cym","berffaith","perfect.ADJ+SM","8","3,6,24,25,34,37"
"cym","berson","person.N.M.SG+SM","2","37"
"cym","berswadio","persuade.V.INFIN+SM","1","35"
"cym","berthnasau","relations.N.F.PL+SM","2","3,31"
"cym","berthynas","relative.N.F.SG+SM[or]relation.N.F.SG+SM","2","5,24"
"cym","berwedig","unk","1","24"
"cym","berwi","boil.V.INFIN","6","11,41"
"cym","beryg","danger.N.M.SG+SM","16","2,3,5,9,14,22,30,32,39"
"cym","berygl","danger.N.M.SG+SM","2","35"
"cym","beswch","cough.V.INFIN+SM","1","14"
"cym","beth_bynnag","unk","7","20,25,37"
"cym","betrol","petrol.N.M.SG+SM","1","37"
"cym","biau","(who) owns.ADV+SM","9","11,19,22,26,42"
"cym","Beuno","name","1","2"
"cym","bigog","unk","1","11"
"cym","bihafio","behave.V.INFIN","1","35"
"cym","bildio","unk","4","7,22,31,36"
"cym","bilio","bill.V.INFIN[or]peel.V.INFIN+SM","1","31"
"cym","bin","bin.N.M.SG","1","23"
"cym","biotechnoleg","unk","5","29"
"cym","bisgedi","biscuits.N.F.PL[or]biscuits.N.F.PL","1","28"
"cym","bitch","unk","2","16"
"cym","biti","pity.N.M.SG+SM","28","3,8,9,11,14,25,30,31,39,42"
"cym","bitshis","unk","1","35"
"cym","bla","unk","1","14"
"cym","blac","unk","1","31"
"cym","blaenau","fronts.N.M.PL","1","7"
"cym","blanc","unk","2","8"
"cym","blancedi","unk","2","41"
"cym","blanciau","unk","1","8"
"cym","blanhigion","plants.N.M.PL+SM","1","14"
"cym","blannu","plant.V.INFIN+SM","1","18"
"cym","blant","children.N.M.PL+SM","68","2,3,4,5,6,7,8,11,12,14,19,22,23,24,25,26,30,31,35,36,38,39,41,42"
"cym","blas","taste.N.M.SG[or]flavour.N.M.SG","3","19,32"
"cym","blasus","unk","6","9,16,21"
"cym","blat","unk","8","14,31"
"cym","blatiau","unk","1","31"
"cym","blawd","flour.N.M.SG","1","24"
"cym","ble","where.INT","51","1,4,12,16,18,19,26,28,29,34,35,37,38"
"cym","blewyn","hair.N.M.SG","1","11"
"cym","blinedig","tiring.ADJ","3","3,25,33"
"cym","blino","tire.V.INFIN","40","3,7,9,10,12,14,15,18,20,28,31,33,36,37,38,41,42"
"cym","bloc","block.N.M.SG","3","1,8"
"cym","blociau","blocks.N.M.PL","1","8"
"cym","barnwr","judge.N.M.SG","2","34"
"cym","blows","unk","1","11"
"cym","bluen","pluck_feathers.V.3P.IMPER.SPOKEN+SM","1","11"
"cym","bluo","pluck_feathers.V.INFIN+SM","1","11"
"cym","blwc","pluck.N.M.SG+SM","2","3"
"cym","blwmp","unk","1","25"
"cym","blynedd","years.N.F.PL","12","3,4,5,12,22,26,28,30,31"
"cym","blynyddau","years.N.F.PL.NSTAN","3","6,31"
"cym","blywyddyn","unk","1","22"
"cym","bnawn","afternoon.N.M.SG+SM","1","30"
"cym","bo","[if it were].ADV+SM","3","30,35,37"
"cym","boarding","unk","2","2,8"
"cym","bob_man","unk","4","4,30,39"
"cym","bobol","people.N.F.SG+SM","28","5,31,39"
"cym","bob_peth","unk","1","31"
"cym","bocs","box.N.M.SG","7","4,7,9,10,42"
"cym","bocsys","boxes.N.M.PL","1","31"
"cym","bod","be.V.INFIN","987","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,41,42"
"cym","boddi","drown.V.INFIN","1","35"
"cym","bodlon","content.ADJ","4","11,23"
"cym","boen","pain.N.MF.SG+SM","1","11"
"cym","boeni","worry.V.INFIN+SM","4","42"
"cym","boeth","hot.ADJ+SM","12","7,9,12,22,23,31,38"
"cym","boi","unk","5","6,12,32"
"cym","bola","belly.N.M.SG","1","1"
"cym","boliau","bellies.N.M.PL","1","31"
"cym","boliog","unk","1","23"
"cym","bomio","bomb.V.INFIN","1","26"
"cym","boncyff","unk","1","11"
"cym","boncyn","hillock.N.M.SG+SM","3","6,35"
"cym","boots","unk","1","20"
"cym","bopeth","everything.N.M.SG+SM","43","2,3,5,6,10,11,12,22,23,28,30,31,35,37,39,42"
"cym","borde","unk","1","27"
"cym","borfa","pasture.N.F.SG+SM","1","6"
"cym","Borth_Madryn","name","1","24"
"cym","bosib","possible.ADJ+SM","9","2,4,5,25,26,31,39"
"cym","bosibiliad","possibility.N.M.SG+SM","1","37"
"cym","bost","post.N.M.SG+SM","3","4,25"
"cym","bòsys","unk","2","7"
"cym","boteli","bottle.V.2S.PRES+SM","2","31,42"
"cym","botymau","buttons.N.M.PL","2","24"
"cym","boutique","unk","1","27"
"cym","bowlen","unk","1","31"
"cym","brae","unk","2","8"
"cym","braf","fine.ADJ","35","4,7,9,11,12,21,22,24,25,28,32,33,35,39"
"cym","brafiach","unk","2","22"
"cym","braich","arm.N.F.SG","1","24"
"cym","brasder","unk","1","32"
"cym","brawd","brother.N.M.SG","19","2,6,7,11,15,24,26,28,30,32,42"
"cym","brawd_yng_nghyfraith","unk","1","28"
"cym","brechdanau","unk","1","22"
"cym","brefu","bleat.V.INFIN","4","2,11"
"cym","bregeth","unk","1","30"
"cym","bregethwr","preacher.N.M.SG+SM","1","6"
"cym","bregethwrs","unk","2","35"
"cym","breichiau","arms.N.F.PL","1","23"
"cym","bren","wood.N.M.SG+SM","2","24"
"cym","brentisien","apprentice.V.3P.IMPER.SPOKEN+SM","1","11"
"cym","bres","money.N.M.SG+SM","9","8,22,23,26,39"
"cym","brics","unk","2","8,18"
"cym","brif","principal.PREQ+SM","7","1,3,19,23,36,42"
"cym","brifathrawes","headmistress.N.F.SG+SM","1","6"
"cym","brifenw","unk","1","42"
"cym","brifo","hurt.V.INFIN","12","10,19,25,28,32,34,37"
"cym","brifysgol","university.N.F.SG+SM","6","1,8,14,28,42"
"cym","brin","scarce.ADJ+SM","5","6,8,11,18"
"cym","brinder","scarcity.N.M.SG+SM","1","7"
"cym","brintio","print.V.INFIN+SM","1","8"
"cym","briod","married.ADJ+SM","9","6,8,22,30,42"
"cym","briodaist","marry.V.2S.PAST+SM","1","11"
"cym","briodas","marriage.N.F.SG+SM","13","7,14,16,30,31,42"
"cym","briodi","marry.V.INFIN+SM","10","3,6,11,12,16,18"
"cym","briododd","marry.V.3S.PAST+SM","5","6,11,24,30"
"cym","briodol","proper.ADJ+SM","1","30"
"cym","bris","price.N.M.SG+SM","1","36"
"cym","brith","unk","2","25"
"cym","broblemau","problems.N.MF.PL+SM","1","35"
"cym","brocoli","unk","1","37"
"cym","brodyr","brothers.N.M.PL","6","8,11,22"
"cym","bron","breast.N.F.SG","1","38"
"cym","broses","process.N.F.SG+SM","1","39"
"cym","brota","unk","1","27"
"cym","brotar","unk","2","27"
"cym","brotes","unk","3","27"
"cym","brown","brown.ADJ","2","4,35"
"cym","bryd","time.N.M.SG+SM","5","16,20,24,26"
"cym","Brydain","Britain.N.F.SG.PLACE+SM","1","26"
"cym","brydlon","timely.ADJ+SM","1","23"
"cym","brynais","buy.V.1S.PAST+SM","1","31"
"cym","Bryn","name","1","2,12"
"cym","brynaist","buy.V.2S.PAST+SM","1","19"
"cym","brynest","unk","1","28"
"cym","bryniau","hill.N.M.PL","2","6"
"cym","brynnu","unk","5","14,32"
"cym","brynodd","buy.V.3S.PAST+SM","3","6,31,32"
"cym","brynu","buy.V.INFIN+SM","14","7,14,20,30,31,33,34,35,37"
"cym","brys","haste.N.M.SG","3","14,22,23"
"cym","brysio","hurry.V.INFIN","2","22,33"
"cym","brysiwch","hurry.V.2P.IMPER","1","11"
"cym","brysur","busy.ADJ+SM","21","3,6,8,9,12,14,20,23,30,31,34,36,37"
"cym","bu","be.V.3S.PAST","1","24"
"cym","buarth","unk","2","11"
"cym","buaswn","be.V.1S.PLUPERF","7","3,37"
"cym","budr","dirty.ADJ","2","35"
"cym","blotyn","unk","1","11"
"cym","bum","five.NUM+SM","5","2,5,7,23,30"
"cym","bump","five.NUM+SM","17","2,7,8,9,11,12,23,24,29,31,33,39"
"cym","buoch","be.V.2P.PAST","2","38"
"cym","bur","fairly.PREQ+SM[or]pure.ADJ+SM","1","31"
"cym","bus","unk","1","14"
"cym","busnes","business.N.MF.SG","7","5,7,22,23,26,31,41"
"cym","busneslyd","unk","1","20"
"cym","buwch","cow.N.F.SG","2","41"
"cym","bwced","unk","1","11"
"cym","bwcediad","unk","1","31"
"cym","bwlb","bulb.N.M.SG","1","7"
"cym","bwlch","space.N.M.SG[or]gap.N.M.SG","1","6"
"cym","bwngalo","unk","1","31"
"cym","bwrdd","table.N.M.SG","43","2,7,8,11,14,21,22,25,30,31,39,42"
"cym","bwriadu","intend.V.INFIN","2","12,37"
"cym","bwrw","strike.V.INFIN","16","2,4,12,14,20,22,23,25,35,39"
"cym","bws","bus.N.M.SG","35","1,7,8,16,19,20,23,28,29,33,35,39"
"cym","bwy","who.PRON+SM","3","4,10"
"cym","bwydydd","foods.N.M.PL","1","6"
"cym","bwyig","unk","1","26"
"cym","bwynt","point.N.M.SG+SM","1","41"
